gene_symbol	module_id	module_class	sensor_family	activation_tier	scoring_direction	cell_type_breadth	detectability	also_in_module	doi	aliases	sensor	panel_source
IQGAP2	SASP	sasp_output		Post-NASP	positive	Liver-enriched	high		10.1038/s41467-022-32552-1			SenMayo
ITGA2	SASP	sasp_receptor		Post-NASP	positive	Broad	medium		10.1038/s41467-022-32552-1			SenMayo
ITPKA	SASP	sasp_output		Post-NASP	positive	Neural-enriched	low		10.1038/s41467-022-32552-1			SenMayo
JUN	SASP	sasp_regulator		Post-NASP	positive	Broad	high		10.1038/s41467-022-32552-1			SenMayo
KITLG	SASP	sasp_output		Post-NASP	positive	Broad	medium		10.1038/s41467-022-32552-1			SenMayo
LCP1	SASP	sasp_output		Post-NASP	positive	Immune-enriched	high		10.1038/s41467-022-32552-1			SenMayo
MAPK14	SASP	sasp_regulator		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
MAPKAPK2	SASP	sasp_regulator		Post-NASP	positive	Broad	medium		10.1038/ncb3225			
MIF	SASP	sasp_output		Post-NASP	positive	Broad	high		10.1038/s41467-022-32552-1			SenMayo
MMP1	SASP	sasp_output		Post-NASP	positive	Broad	high		10.1038/s41580-024-00738-8			SenNet
MMP10	SASP	sasp_output		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
MMP12	SASP	sasp_output		Post-NASP	positive	Broad	low		10.1038/s41580-024-00738-8			SenNet
MMP13	SASP	sasp_output		Post-NASP	positive	Broad	low		10.1038/s41580-024-00738-8			SenNet
MMP14	SASP	sasp_output		Post-NASP	positive	Broad	medium		10.1038/s41467-022-32552-1			SenMayo
MMP2	SASP	sasp_output		Post-NASP	positive	Broad	high		10.1038/s41580-024-00738-8			SenNet
MMP3	SASP	sasp_output		Post-NASP	positive	Broad	low		10.1038/s41580-024-00738-8			SenNet
MMP9	SASP	sasp_output		Post-NASP	positive	Broad	medium		10.1038/s41580-024-00738-8			SenNet
NAP1L4	SASP	sasp_output		Post-NASP	positive	Broad	medium		10.1038/s41467-022-32552-1			SenMayo
NFKB1	SASP	sasp_regulator		Post-NASP	positive	Broad	high	SENESCENCE|SASP|SIGNALING_CONTEXT	10.1038/s41580-024-00738-8			SenNet
NOTCH1	SASP	sasp_regulator		Post-NASP	positive	Broad	low		10.1038/ncb3397			
NOTCH2	SASP	sasp_regulator		Post-NASP	positive	Broad	medium		10.1016/j.celrep.2019.03.104			
NOTCH3	SASP	sasp_regulator		Post-NASP	positive	Broad	low		10.1158/0008-5472.CAN-12-3902			
NRG1	SASP	sasp_output		Post-NASP	positive	Broad	high		10.1038/s41467-022-32552-1			SenMayo
PAPPA	SASP	sasp_output		Post-NASP	positive	Broad	high		10.1038/s41467-022-32552-1			SenMayo
PECAM1	SASP	sasp_receptor		Post-NASP	positive	Endothelial-enriched	medium		10.1038/s41467-022-32552-1			SenMayo
